GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AutoDeploy Backend,com.autodeploy,AutoDeployApplication,5,3,0,0,2,1,1,1,1,1
AutoDeploy Backend,com.autodeploy.model,ReglaFirewall,4,82,0,0,1,27,1,17,1,17
AutoDeploy Backend,com.autodeploy.model,Redireccion,0,69,0,0,0,23,0,14,0,14
AutoDeploy Backend,com.autodeploy.model,Servidor,6,124,0,0,2,38,2,26,2,26
AutoDeploy Backend,com.autodeploy.model,MetricaServidor,0,117,0,0,0,34,0,29,0,29
AutoDeploy Backend,com.autodeploy.model,ClaveSshUsuario,3,53,0,0,1,17,1,11,1,11
AutoDeploy Backend,com.autodeploy.model,Usuario,12,173,4,4,0,46,4,25,0,25
AutoDeploy Backend,com.autodeploy.model,Subdominio,0,58,0,0,0,18,0,15,0,15
AutoDeploy Backend,com.autodeploy.model,PreferenciasNotificacion,0,33,0,0,0,10,0,7,0,7
AutoDeploy Backend,com.autodeploy.model,ConfiguracionAsistenteIa,0,56,0,0,0,17,0,13,0,13
AutoDeploy Backend,com.autodeploy.model,ActividadLog,0,53,0,0,0,17,0,12,0,12
AutoDeploy Backend,com.autodeploy.model,Backup,0,81,0,0,0,26,0,18,0,18
AutoDeploy Backend,com.autodeploy.model,Notificacion,0,79,0,0,0,26,0,16,0,16
AutoDeploy Backend,com.autodeploy.model,HealthCheck,3,70,0,0,1,22,1,15,1,15
AutoDeploy Backend,com.autodeploy.model,Despliegue,4,101,0,0,1,31,1,25,1,25
AutoDeploy Backend,com.autodeploy.controller,ServidorController,33,138,4,6,7,32,5,9,1,8
AutoDeploy Backend,com.autodeploy.controller,NetworkingController,64,59,5,3,12,14,7,4,3,4
AutoDeploy Backend,com.autodeploy.controller,WebhookController,46,212,7,21,8,45,6,12,0,4
AutoDeploy Backend,com.autodeploy.controller,BackupController.NuevoBackupRequest,0,9,0,0,0,1,0,1,0,1
AutoDeploy Backend,com.autodeploy.controller,NginxController,74,24,0,0,14,6,2,3,2,3
AutoDeploy Backend,com.autodeploy.controller,FirewallController.NuevaReglaRequest,0,21,0,0,0,1,0,1,0,1
AutoDeploy Backend,com.autodeploy.controller,UsuarioController.NuevaClaveRequest,0,9,0,0,0,1,0,1,0,1
AutoDeploy Backend,com.autodeploy.controller,FirewallController,4,158,6,8,0,32,6,9,0,8
AutoDeploy Backend,com.autodeploy.controller,MetricasController,32,12,2,0,8,5,3,1,2,1
AutoDeploy Backend,com.autodeploy.controller,EstadoController,11,104,3,3,2,18,3,3,0,3
AutoDeploy Backend,com.autodeploy.controller,DespliegueController,74,24,8,0,11,7,6,2,2,2
AutoDeploy Backend,com.autodeploy.controller,EstadoController.EstadoServicio,0,12,0,0,0,1,0,1,0,1
AutoDeploy Backend,com.autodeploy.controller,AsistenteIaController,48,32,4,4,10,7,5,3,1,3
AutoDeploy Backend,com.autodeploy.controller,DeployZipController,88,15,4,0,15,6,4,1,2,1
AutoDeploy Backend,com.autodeploy.controller,HealthMonitorController,14,42,0,0,3,10,1,2,1,2
AutoDeploy Backend,com.autodeploy.controller,ActividadLogController,13,23,0,0,2,7,1,2,1,2
AutoDeploy Backend,com.autodeploy.controller,SslController,65,26,0,0,12,7,0,5,0,5
AutoDeploy Backend,com.autodeploy.controller,EstadoController.EstadoSistema,0,12,0,0,0,1,0,1,0,1
